Region,LocationName,FO#,Loc,Svc,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot_EGMs,FRS,ACM,ITC,Total_PDF,Total_Computed,Month
Japan,CORNER POCKET,22,3078,Navy,,,4.0,2.0,,3.0,,5.0,9.0,1.0,1.0,12.0,16.0,November 2023
Japan,CLUB TRILOGY,22,3079,Navy,2.0,6.0,4.0,,5.0,,,4.0,17.0,1.0,2.0,21.0,24.0,November 2023
Japan,ZAMA G/C,22,3165,Army,2.0,4.0,2.0,1.0,,,,3.0,9.0,1.0,1.0,12.0,14.0,November 2023
Japan,HAVANA'S,26,967,Army,2.0,1.0,1.0,,3.0,1.0,,8.0,1.0,1.0,1.0,11.0,11.0,November 2023
Japan,HASHMARKS,26,1105,Marine Corps,,,,,,,,0.0,,,0.0,0.0,0.0,November 2023
Japan,COURTNEY B/C,26,1107,Marine Corps,2.0,,6.0,,,2.0,,3.0,10.0,1.0,2.0,14.0,16.0,November 2023
Japan,TAIYO G/C,26,1109,Marine Corps,9.0,9.0,9.0,,7.0,2.0,,7.0,36.0,1.0,2.0,41.0,46.0,November 2023
Japan,BUTLER B/C,26,1111,Marine Corps,4.0,4.0,2.0,,7.0,2.0,,3.0,19.0,1.0,2.0,23.0,25.0,November 2023
Japan,OCEAN BREEZE,26,1114,Marine Corps,12.0,18.0,10.0,,23.0,3.0,,6.0,66.0,1.0,2.0,72.0,75.0,November 2023
Japan,SURFSIDE,26,1122,Marine Corps,6.0,,,,4.0,2.0,,2.0,12.0,1.0,2.0,16.0,17.0,November 2023
Japan,PALMS,26,2238,Marine Corps,5.0,6.0,11.0,,5.0,4.0,,7.0,31.0,1.0,2.0,36.0,41.0,November 2023
Japan,WEST PAC LODGE,26,2317,Marine Corps,,,,,,,,0.0,,,0.0,0.0,0.0,November 2023
Japan,BEACH HEAD,26,2394,Marine Corps,5.0,3.0,3.0,,,,,11.0,1.0,1.0,2.0,15.0,15.0,November 2023
Japan,CROW'S NEST,26,2523,Navy,2.0,4.0,2.0,,4.0,,,4.0,12.0,1.0,2.0,16.0,19.0,November 2023
Japan,PORT CALL,26,2525,Navy,2.0,,,,3.0,3.0,,1.0,8.0,1.0,2.0,12.0,12.0,November 2023
Japan,WHISPERS,26,3159,Marine Corps,6.0,4.0,8.0,,,,,4.0,18.0,1.0,2.0,22.0,25.0,November 2023
Japan,HANSEN TLF,26,3169,Marine Corps,,,,,,,,0.0,,,0.0,0.0,0.0,November 2023
OKINAWA,TORII PINES TLF,27,3164,Marine Corps,4.0,4.0,4.0,,5.0,,,6.0,17.0,1.0,2.0,21.0,26.0,November 2023
OKINAWA,IWAKUNI CLUB,27,1137,Marine Corps,12.0,4.0,6.0,,3.0,4.0,,4.0,29.0,1.0,2.0,34.0,36.0,November 2023
OKINAWA,TERROR CLUB,17,3156,Navy,10.0,,,,,,,10.0,1.0,1.0,2.0,14.0,14.0,November 2023
Korea,DRAGON HILL,20,770,Army,19.0,,6.0,,25.0,,,10.0,50.0,1.0,3.0,56.0,64.0,November 2023
