Region,FO#,Location,Slots,ACM_CountR,ITC,FRS,Total,Month
Japan                                                                       Slots              ACM              ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,April 2024
Japan                                                                       Slots              ACM              ITC           FRS           Total,22,ZAMA,144.0,8.0,10.0,8.0,170.0,April 2024
Japan                                                                       Slots              ACM              ITC           FRS           Total,26,OKINAWA,312.0,15.0,21.0,11.0,359.0,April 2024
Japan                                                                       Slots              ACM              ITC           FRS           Total,27,IWAKUNI,66.0,4.0,4.0,2.0,76.0,April 2024
Korea                                                                       Slots              ACM              ITC           FRS           Total,20,SEOUL,85.0,3.0,5.0,2.0,95.0,April 2024
Korea                                                                       Slots              ACM              ITC           FRS           Total,21,DAEGU,120.0,6.0,,,126.0,April 2024
Korea                                                                       Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,74.0,4.0,,,78.0,April 2024
Korea                                                                       Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,141.0,5.0,6.0,3.0,155.0,April 2024
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,165.0,10.0,12.0,6.0,193.0,May 2024
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,May 2024
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,17.0,1.0,,,18.0,May 2024
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,30.0,2.0,,1.0,33.0,May 2024
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,May 2024
Europe                                                                     Slots              ACM              ITC           FRS           Total,40,SIGONELLA,32.0,2.0,2.0,2.0,38.0,May 2024
Europe                                                                     Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,3.0,4.0,2.0,56.0,May 2024
Europe                                                                     Slots              ACM              ITC           FRS           Total,43,ROTA,64.0,4.0,6.0,4.0,78.0,May 2024
Europe                                                                     Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,May 2024
Europe                                                                     Slots              ACM              ITC           FRS           Total,46,VILSECK,105.0,9.0,4.0,4.0,122.0,May 2024
